"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Policy is accepted ""Affiliates Region (IS_ANY_OF, one element)""","","Mon Apr 27 05:47:02 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","13389","azureBlobPush_withoutDestFolder()","","Mon Apr 27 05:47:11 UTC 2026","passed","Mon Apr 27 05:47:24 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","65","Policy is accepted ""Affiliates BPNL""","","Mon Apr 27 05:47:02 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3933","transferData_failing_withProxyOriginalResponse()","","Mon Apr 27 05:49:20 UTC 2026","passed","Mon Apr 27 05:49:24 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_failing_withProxyOriginalResponse"
"","2369","The refresh token does not match the stored one","","Mon Apr 27 05:46:56 UTC 2026","passed","Mon Apr 27 05:46:58 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_withWrongRefreshToken"
"","72","4.3.3 Verify invalid access token - expired","","Mon Apr 27 05:48:42 UTC 2026","passed","Mon Apr 27 05:48:42 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenExpired"
"","63","Expect the Catalog request to fail if a requested credential is missing","","Mon Apr 27 05:49:02 UTC 2026","passed","Mon Apr 27 05:49:02 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenRequestedCredentialMissing"
"","61","Policy is accepted ""Enforce data usage end date 1 second in the future""","","Mon Apr 27 05:47:03 UTC 2026","passed","Mon Apr 27 05:47:03 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","33","discoveryShouldReturn2025DspParams_DidAsIdentifier()","","Mon Apr 27 05:47:29 UTC 2026","passed","Mon Apr 27 05:47:29 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn2025DspParams_DidAsIdentifier"
"","2261","discoveryShouldReturn400_ifRequestHasMissingProps()","","Mon Apr 27 05:46:51 UTC 2026","passed","Mon Apr 27 05:46:53 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","discoveryShouldReturn400_ifRequestHasMissingProps"
